"EL FORTIN",3533
"EL FOYEL",294
"EL FUERTE",3888
"EL FUERTECITO",3576
"EL GALPON",3876
"EL HACHERAL",3888
"EL HOYO",294
"EL HUACO",380
"EL HUECU",2948
"ELISA",3498
"EL JARDIN",3876
"EL LINDERO (PROV. CATAMARCA, DTO. ANDALGALA)",3835
"EL LINDERO (PROV. CATAMARCA, DTO. CAPITAL)",383
"EL MAITEN",2945
"EL MANANTIAL",3576
"EL MANSO",294
"EL MANZANO",260
"EL MIRASOL",280
"EL MOJON",3861
"EL MOLLAR",3867
"EL MORENO",388
"EL NIHUIL",260
"ELORDI",3388
"ELORTONDO",3462
"EL PAJONAL",3835
"EL PALENQUE",343
"EL PALMAR",364
"EL PANTANILLO",383
"EL PARAISO",3407
"EL PATO",2229
"EL PEÑON",3835
"EL PERCHEL (PROV. CORDOBA, DTO. PUNILLA)",3544
"EL PERCHEL (PROV. CORDOBA, DTO. TULUMBA)",3521
"EL PERDIDO",2921
"EL PINGO",343
"EL PIQUETE",3888
"EL PLUMERO",263
"EL PORTEZUELO (PROV. CATAMARCA)",383
"EL PORTEZUELO (PROV. LA RIOJA)",3826
"EL POTRERILLO",3825
"EL POTRERO",3835
"EL PUEBLITO",3837
"EL PUESTO",3888
"EL QUEBRACHAL (PROV.  CORDOBA)",351
"EL QUEBRACHAL (PROV.  SALTA)",3877
"EL QUEBRACHO",3437
"EL QUEBRACHO NORTE",3525
"EL QUEMADO",3542
"EL RABON",3482
